Symbol,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,results_per_total,results_per_cation,CationSites,CounterIonSites,results_per_counter_ion,res_per_volm_per_site,Result,SpaceGroup,SpaceGroupNumber,Total Sites,Reduced Formula
O,15.999,152.0,3.44,13.618,1.461,5.3,1.9046992739487498,3.8093985478974997,0.5,0.5,0.0038093985478975,0.00012736110978950086,0.12736110978950085,Pm-3n,223,12,MgO
Cl,35.45,175.0,3.16,12.968,3.617,14.6,1.5095087548744663,4.528526264623399,0.3333333333333333,0.6666666666666666,0.0022642631323116997,5.998530023756859e-05,0.05998530023756859,Pmma,51,6,MgCl2
Mg,24.305,173.0,1.31,7.646,,71.2,9.705692903460918,9.770831782007635,0.9933333333333333,0.9933333333333333,0.009770831782007635,0.00041921241795985875,0.41921241795985875,P-6m2,187,150,DyMg149
Cl,35.45,175.0,3.16,12.968,3.617,14.6,1.4869621118731113,4.4608863356193345,0.3333333333333333,0.6666666666666666,0.002230443167809667,6.41953783555885e-05,0.0641953783555885,R-3m,166,9,MgCl2
Te,127.6,206.0,2.1,9.01,1.971,38.0,2.9983629123186373,5.9967258246372745,0.5,0.5,0.005996725824637275,8.837004154559456e-05,0.08837004154559455,P6_3mc,186,4,MgTe
Mg,24.305,173.0,1.31,7.646,,71.2,14.132765025997761,56.531060103991045,0.25,0.25,0.056531060103991046,0.0006464842770515362,0.6464842770515362,I4/mmm,139,4,Hf3Mg
Mg,24.305,173.0,1.31,7.646,,71.2,9.946148749546255,10.012901425717708,0.9933333333333333,0.9933333333333333,0.010012901425717707,0.0004311787294495854,0.4311787294495854,P-6m2,187,150,TbMg149
C,12.011,170.0,2.55,11.26,1.263,11.3,2.6591523363758496,6.647880840939624,0.4,0.6,0.004431920560626417,0.0002082661782438595,0.2082661782438595,Pnnm,58,10,Mg2C3
H,1.008,120.0,2.2,13.598,0.754,4.50711,5.409652696684363,16.228958090053087,0.3333333333333333,0.6666666666666666,0.008114479045026544,0.0006062371921534326,0.6062371921534326,Pca2_1,29,12,MgH2
S,32.07,180.0,2.58,10.36,2.077,19.4,1.5039580537077335,4.511874161123201,0.3333333333333333,0.6666666666666666,0.0022559370805616003,7.338490357653484e-05,0.07338490357653485,C2/m,12,6,MgS2
Ti,47.867,187.0,1.54,6.828,0.079,100.0,22.05002317436026,88.20009269744104,0.25,0.75,0.029400030899147014,0.0012259749739015014,1.2259749739015013,Pm-3m,221,4,MgTi3
Tc,96.90636,209.0,1.9,7.28,0.55,79.0,10.192355693538577,10.260760765307294,0.9933333333333333,0.006666666666666667,1.5288533540307867,0.0004455215830395953,0.44552158303959527,P-6m2,187,150,Mg149Tc
O,15.999,152.0,3.44,13.618,1.461,5.3,2.9241023090862623,5.848204618172525,0.5,0.5,0.0058482046181725245,0.00024326462420164977,0.24326462420164977,P1,1,80,MgO
Mg,24.305,173.0,1.31,7.646,,71.2,9.450339485975183,9.513764583196496,0.9933333333333333,0.9933333333333333,0.009513764583196496,0.0004063215083049029,0.4063215083049029,P-6m2,187,150,RbMg149
Nb,92.90637,207.0,1.6,6.759,0.893,98.0,8.677161030865745,8.73539701093867,0.9933333333333333,0.006666666666666667,1.3015741546298618,0.00037921751319263227,0.37921751319263225,P-6m2,187,150,Mg149Nb
O,15.999,152.0,3.44,13.618,1.461,5.3,2.832778896462838,5.665557792925676,0.5,0.5,0.0056655577929256755,0.00023998628428318312,0.23998628428318314,P6_3mc,186,4,MgO
Bi,208.9804,207.0,2.02,7.289,0.946,53.0,9.551000209943329,14.326500314914993,0.6666666666666666,0.3333333333333333,0.028653000629829985,0.0003668617110802811,0.3668617110802811,Amm2,38,12,Mg2Bi
Ga,69.723,187.0,1.81,5.999,0.3,50.0,8.997991253813554,9.058380456859283,0.9933333333333333,0.006666666666666667,1.3496986880720332,0.0003967150981299047,0.3967150981299047,P-6m2,187,150,Mg149Ga
B,10.81,192.0,2.04,8.298,0.277,20.5,3.8030385054082343,30.424308043265874,0.125,0.875,0.004346329720466553,0.00048310772355844377,0.4831077235584438,C2/m,12,32,MgB7
Sb,121.76,206.0,2.05,8.64,1.07,43.0,6.235227966121821,10.392046610203034,0.6,0.4,0.015588069915304552,0.00023766077301520886,0.23766077301520885,P-3m1,164,5,Mg3Sb2
Pt,195.08,209.0,2.28,9.0,2.128,48.0,9.886097160287504,9.95244680565856,0.9933333333333333,0.006666666666666667,1.4829145740431255,0.0004311240200322226,0.4311240200322226,P-6m2,187,150,Mg149Pt
Mg,24.305,173.0,1.31,7.646,,71.2,8.565621580402178,8.62310897355924,0.9933333333333333,0.9933333333333333,0.008623108973559241,0.00037230129066353763,0.3723012906635376,P-6m2,187,150,PrMg149
Mg,24.305,173.0,1.31,7.646,,71.2,8.72111612869948,8.779647109429007,0.9933333333333333,0.9933333333333333,0.008779647109429007,0.0003805604514344596,0.3805604514344596,P-6m2,187,150,ThMg149
Cd,112.41,158.0,1.69,8.994,,46.0,10.517562633095972,21.035125266191944,0.5,0.5,0.021035125266191945,0.0004915455839278884,0.4915455839278884,Amm2,38,12,MgCd
Hg,200.59,209.0,2.0,10.438,,33.0,10.219212351139774,10.287797668932656,0.9933333333333333,0.006666666666666667,1.532881852670966,0.0004478804912474328,0.4478804912474328,P-6m2,187,150,Mg149Hg
Br,79.9,183.0,2.96,11.814,3.365,21.0,8.660453653024925,8.718577503045227,0.9933333333333333,0.006666666666666667,1.2990680479537389,0.0003798735764571232,0.3798735764571232,P-6m2,187,150,Mg149Br
Cr,51.996,189.0,1.66,6.767,0.666,83.0,10.004738093991289,10.071883987239554,0.9933333333333333,0.006666666666666667,1.5007107140986935,0.00043711540958935946,0.43711540958935946,P-6m2,187,150,Mg149Cr
F,18.99840316,135.0,3.98,17.423,3.339,3.74,1.3615465821970751,4.084639746591225,0.3333333333333333,0.6666666666666666,0.002042319873295613,0.00012584014957670912,0.1258401495767091,P4_2/mnm,136,6,MgF2
Ru,101.1,207.0,2.2,7.361,1.05,72.0,10.084768367696944,10.152451376876117,0.9933333333333333,0.006666666666666667,1.5127152551545415,0.0004406630255939509,0.4406630255939509,P-6m2,187,150,Mg149Ru
Ge,72.63,211.0,2.01,7.9,1.35,40.0,10.029660716880583,15.044491075320874,0.6666666666666666,0.3333333333333333,0.03008898215064175,0.0004659477731948085,0.4659477731948085,Fm-3m,225,3,Mg2Ge
Se,78.97,190.0,2.55,9.752,2.021,28.9,3.3937266400541883,6.787453280108377,0.5,0.5,0.006787453280108376,0.00012903956484584103,0.12903956484584103,P6_3mc,186,4,MgSe
Mg,24.305,173.0,1.31,7.646,,71.2,5.1333415942156035,10.266683188431207,0.5,0.5,0.010266683188431207,0.00019597906547450108,0.19597906547450109,Amm2,38,12,CeMg
Mn,54.93804,197.0,1.55,7.434,,68.0,8.844948250219648,8.904310319013069,0.9933333333333333,0.006666666666666667,1.3267422375329474,0.0003885866972924987,0.38858669729249873,P-6m2,187,150,Mg149Mn
Br,79.9,183.0,2.96,11.814,3.365,21.0,1.7979117160129463,5.393735148038839,0.3333333333333333,0.6666666666666666,0.0026968675740194196,6.537980442465751e-05,0.06537980442465752,P-3m1,164,3,MgBr2
Sc,44.95591,211.0,1.36,6.561,0.188,97.0,10.223951633410808,10.292568758467258,0.9933333333333333,0.006666666666666667,1.5335927450116213,0.00044690023017057224,0.44690023017057223,P-6m2,187,150,Mg149Sc
Te,127.6,206.0,2.1,9.01,1.971,38.0,3.7593310924320424,11.277993277296128,0.3333333333333333,0.6666666666666666,0.0056389966386480635,0.0001267132918441849,0.1267132918441849,Pa-3,205,12,MgTe2
Mg,24.305,173.0,1.31,7.646,,71.2,10.177842024875575,10.246149689472055,0.9933333333333333,0.9933333333333333,0.010246149689472055,0.0004433219556233546,0.4433219556233546,P-6m2,187,150,ErMg149
P,30.973762,180.0,2.19,10.487,0.746,25.0,9.878338821546144,9.944636397529676,0.9933333333333333,0.006666666666666667,1.4817508232319216,0.0004313763325126365,0.43137633251263646,P-6m2,187,150,Mg149P
O,15.999,152.0,3.44,13.618,1.461,5.3,2.4275527604915204,4.855105520983041,0.5,0.5,0.004855105520983041,0.00017377403397490483,0.17377403397490485,Cm,8,24,MgO
H,1.008,120.0,2.2,13.598,0.754,4.50711,6.377855602644075,19.133566807932226,0.3333333333333333,0.6666666666666666,0.009566783403966113,0.0007733443409803427,0.7733443409803428,Pnma,62,12,MgH2
As,74.92159,185.0,2.18,9.815,0.81,30.0,5.757552815595675,9.595921359326125,0.6,0.4,0.014393882038989187,0.00023931010644758893,0.23931010644758893,Pn-3m,224,10,Mg3As2
Bi,208.9804,207.0,2.02,7.289,0.946,53.0,6.317187080198412,12.634374160396824,0.5,0.5,0.012634374160396825,0.00022429995760522162,0.22429995760522162,Amm2,38,12,MgBi
S,32.07,180.0,2.58,10.36,2.077,19.4,2.7416153061529256,5.483230612305851,0.5,0.5,0.005483230612305851,0.000155197484568087,0.155197484568087,Fm-3m,225,2,MgS
