Symbol,Structure,Total Sites,Cation Sites,Counter Ion Sites,Diff Energy,Diff per Total Sites,Diff per Cation Sites,Diff per Counter Ion Sites,Volume,mid,Composition
Pt,Li2 Pt4,6,2.0,4.0,0.04657059046744921,0.007761765077908202,0.023285295233724607,0.011642647616862303,100.37756828038766,30764,Li2 Pt4
Ag,Li6 Ag2,8,6.0,2.0,0.09638788614989201,0.012048485768736501,0.016064647691648667,0.048193943074946004,132.3069175209103,977126,Li6 Ag2
N,Li4 N4,8,4.0,4.0,0.04101146528013046,0.005126433160016307,0.010252866320032614,0.010252866320032614,102.91439774854942,1180489,Li4 N4
Be,Li1 Be1,2,1.0,1.0,0.030935194580919173,0.015467597290459587,0.030935194580919173,0.030935194580919173,22.21536481835068,1058798,Li1 Be1
O,Li1 O8,9,1.0,8.0,0.00336590938288194,0.0003739899314313267,0.00336590938288194,0.0004207386728602425,112.83184238700468,1232999,Li1 O8
W,Li6 W2,8,6.0,2.0,0.12154832337885346,0.015193540422356683,0.020258053896475576,0.06077416168942673,115.23035027877388,1185288,Li6 W2
Tb,Li6 Tb2,8,6.0,2.0,0.20122202509932402,0.025152753137415503,0.03353700418322067,0.10061101254966201,189.08713597700674,1185282,Li6 Tb2
Te,Li6 Te2,8,6.0,2.0,0.09474455797328891,0.011843069746661114,0.01579075966221482,0.04737227898664446,153.36816029910682,1185280,Li6 Te2
Gd,Li6 Gd2,8,6.0,2.0,0.120155055690116,0.0150193819612645,0.020025842615019333,0.060077527845058,179.85020322858514,1185269,Li6 Gd2
Sn,Li1 Sn3,4,1.0,3.0,0.015174064886850316,0.003793516221712579,0.015174064886850316,0.005058021628950106,98.23524007621853,1185461,Li1 Sn3
Si,Li2 Si6,8,2.0,6.0,0.035413121772897994,0.004426640221612249,0.017706560886448997,0.005902186962149666,116.99387074256877,975321,Li2 Si6
Mg,Li2 Mg6,8,2.0,6.0,0.10351144184540548,0.012938930230675685,0.05175572092270274,0.017251906974234246,172.49833017159122,1094602,Li2 Mg6
Mn,Li1 Mn1,2,1.0,1.0,0.04433081340095675,0.022165406700478375,0.04433081340095675,0.04433081340095675,26.191503817453526,1185402,Li1 Mn1
Al,Li4 Al8,12,4.0,8.0,0.11406285117601475,0.00950523759800123,0.028515712794003688,0.014257856397001844,220.54994651156306,1211134,Li4 Al8
P,Li8 P56,64,8.0,56.0,0.020789623414715713,0.000324837865854933,0.002598702926839464,0.0003712432752627806,1357.3671389986143,27687,Li8 P56
As,Li48 As112,160,48.0,112.0,0.3231357133963464,0.002019598208727165,0.00673199402909055,0.0028851402981816643,3692.38125609857,680395,Li48 As112
Sr,Sr6 Li2,8,2.0,2.0,0.12950479530749825,0.016188099413437282,0.06475239765374913,0.06475239765374913,376.0450390998358,1187126,Sr6 Li2
Zn,Li3 Zn1,4,3.0,1.0,0.05419804879929724,0.01354951219982431,0.01806601626643241,0.05419804879929724,63.88990880903131,976414,Li3 Zn1
Mg,Li4 Mg1,5,4.0,1.0,0.0730031118461007,0.01460062236922014,0.018250777961525175,0.0730031118461007,103.9887000209007,1222419,Li4 Mg1
Sb,Li6 Sb2,8,6.0,2.0,0.08667255485065549,0.010834069356331936,0.014445425808442582,0.043336277425327745,156.97803312960477,7955,Li6 Sb2
I,Li1 I1,2,1.0,1.0,0.005938160001096919,0.0029690800005484595,0.005938160001096919,0.005938160001096919,53.15007879437164,22899,Li1 I1
