Symbol,Structure,Total Sites,Cation Sites,Counter Ion Sites,Diff Energy,Diff per Total Sites,Diff per Cation Sites,Diff per Counter Ion Sites,Volume,mid,Composition
Se,Mn2 Se2,4,2.0,2.0,0.005341823477647695,0.0013354558694119237,0.0026709117388238474,0.0026709117388238474,103.85231174582884,999540,Mn2 Se2
O,Mn4 O8,12,4.0,8.0,0.03936472938798938,0.0032803941156657815,0.009841182346997344,0.004920591173498672,129.92888564564038,25275,Mn4 O8
Te,Mn1 Te1,2,1.0,1.0,0.00019303370906898105,9.651685453449053e-05,0.00019303370906898105,0.00019303370906898105,64.9216967858791,1009222,Mn1 Te1
S,Mn2 S2,4,2.0,2.0,0.026152928462439003,0.006538232115609751,0.013076464231219501,0.013076464231219501,68.93057502083215,2065,Mn2 S2
Ga,Mn12 Ga58,70,12.0,58.0,0.47713332944745507,0.00681619042067793,0.039761110787287925,0.008226436714611294,1185.9533623984983,1196402,Mn12 Ga58
F,Mn4 F10,14,4.0,10.0,0.017976210997223463,0.0012840150712302473,0.004494052749305866,0.0017976210997223464,165.98048857665805,753169,Mn4 F10
As,Mn23 As16,39,23.0,16.0,0.33706494226076306,0.008642690827199052,0.014654997489598394,0.02106655889129769,570.7183060823656,1222233,Mn23 As16
Ge,Mn6 Ge2,8,6.0,2.0,0.14672428365607101,0.018340535457008877,0.024454047276011835,0.07336214182803551,97.013354276187,1078873,Mn6 Ge2
O,Mn32 O48,80,32.0,48.0,0.31748370742715476,0.003968546342839435,0.009921365857098586,0.006614243904732391,888.4438433922353,565203,Mn32 O48
P,Mn12 P4,16,12.0,4.0,0.18808858983809837,0.011755536864881148,0.015674049153174864,0.04702214745952459,207.2722797008447,19884,Mn12 P4
Ni,Mn1 Ni1,2,1.0,1.0,0.03449411769242062,0.01724705884621031,0.03449411769242062,0.03449411769242062,24.774270632233222,11500,Mn1 Ni1
Al,Mn2 Al12,14,2.0,12.0,0.09254872697049613,0.006610623355035437,0.04627436348524806,0.00771239391420801,208.61263898141087,173,Mn2 Al12
P,Mn6 P3,9,6.0,3.0,0.08581140959140009,0.00953460106571112,0.014301901598566681,0.028603803197133362,103.57003890057682,1849,Mn6 P3
